B2,B3,B4,B5,B6,B7,B8,B9,B11,NDVI,lc,random_split,NDBI
0.045,0.06885,0.06555,0.11085,0.1901,0.212,0.2339,0.21695,0.19075,0.5621974,1,0.0232776856528,-0.10161309313552336
0.0582,0.0832,0.0888,0.1194,0.1859,0.2112,0.2062,0.2333,0.2128,0.39796612,1,0.7847924783025115,0.01575178997613364
0.0522,0.0788,0.0764,0.1218,0.2004,0.221,0.2374,0.2628,0.2165,0.51306564,1,0.748672114768893,-0.046045384445913204
0.0442,0.0691,0.06475,0.10785,0.18675,0.2069,0.22,0.24015,0.1991,0.5452151,1,0.7326329932831659,-0.049868766404199474
0.0349,0.05425,0.0523,0.0854,0.17775,0.1922,0.2113,0.24055,0.1722,0.60318667,1,0.7235791131931028,-0.10195567144719687
0.037,0.0563,0.05105,0.09705,0.1995,0.22525,0.2527,0.2535,0.19625,0.6638683,1,0.6973150462625686,-0.12573783272079292
0.0766,0.0994,0.0996,0.1215,0.2015,0.2167,0.234,0.2475,0.2013,0.4028777,1,0.6871255365722401,-0.07512060647829084
0.0461,0.0685,0.0724,0.1009,0.18165,0.20205,0.2238,0.2154,0.17965,0.5111411,1,0.6806354479342527,-0.10943115627710992
0.05315,0.07245,0.0746,0.12575,0.1997,0.22795,0.2242,0.2419,0.2042,0.5006693,1,0.6415314670628846,-0.046685340802987904
0.03905,0.0598,0.05275,0.09205,0.19645,0.2209,0.2253,0.22975,0.1749,0.62057185,1,0.6081384452775698,-0.12593703148425786
0.0435,0.062,0.061,0.0957,0.1804,0.1916,0.1968,0.2138,0.1745,0.5267649,1,0.5717379891568115,-0.06005925127928903
0.0449,0.066,0.0623,0.1151,0.1904,0.2136,0.2365,0.21825,0.2101,0.58299863,1,0.5662234618572726,-0.05911330049261079
0.048,0.0772,0.0734,0.1177,0.1967,0.2194,0.2254,0.2474,0.2077,0.5087015,1,0.5502224544000958,-0.04086815977834217
0.0536,0.0779,0.0758,0.1157,0.214,0.23275,0.2456,0.26125,0.1925,0.52831364,1,0.4954345122608635,-0.12120520429125771
0.0433,0.0634,0.0621,0.1047,0.1999,0.2194,0.2326,0.2415,0.187,0.57855445,1,0.4825579498323201,-0.10867492850333652
0.0414,0.06025,0.06185,0.10695,0.20005,0.219,0.2262,0.22185,0.1959,0.5705607,1,0.4168286692612365,-0.07178393745557929
0.0543,0.07495,0.0813,0.12165,0.18985,0.21685,0.2388,0.23785,0.22295,0.49203375,1,0.4042080563461361,-0.034325933946940994
0.03945,0.0613,0.0551,0.0974,0.189,0.209,0.2108,0.2373,0.17665,0.5855585,1,0.2355052578624694,-0.08814040521357591
0.0422,0.0546,0.061,0.0899,0.1369,0.149,0.1698,0.1799,0.2072,0.4714038,1,0.2224215601496584,0.0992042440318302
0.0402,0.0599,0.06165,0.0966,0.20795,0.2322,0.2395,0.2454,0.17585,0.5905695,1,0.1970683745772236,-0.1532442518358011
0.054,0.073,0.0795,0.1024,0.177,0.1957,0.213,0.215,0.2059,0.45641026,1,0.1928798306380765,-0.01694915254237287
0.0449,0.0578,0.0575,0.0902,0.1357,0.148,0.1604,0.1694,0.2226,0.47223496,1,0.1464533921811943,0.16240208877284595
0.0443,0.0742,0.06925,0.1518,0.22475,0.24425,0.2393,0.27875,0.2363,0.55112624,1,0.1160127933836249,-0.0063078216989066495
0.0335,0.0554,0.04915,0.0952,0.19155,0.2095,0.2279,0.24355,0.1851,0.6451904,1,0.0887881298869083,-0.10363196125907992
0.0708,0.1024,0.1078,0.1422,0.2324,0.2526,0.2624,0.2666,0.218,0.4176121,1,0.0873625260885158,-0.09242298084929229
0.0521,0.0778,0.07315,0.126,0.22165,0.23735,0.2503,0.2568,0.2083,0.54768896,1,0.0794480937391053,-0.09158307893589186
0.0388,0.05855,0.05095,0.0909,0.21445,0.2341,0.2434,0.2602,0.1736,0.6538135,1,0.0227152974283858,-0.16738609112709832
0.0461,0.0674,0.0606,0.0954,0.1632,0.1834,0.1956,0.2031,0.1841,0.52693206,1,0.7859035687765205,-0.030287068738477696
0.03965,0.06365,0.05915,0.0946,0.1941,0.213,0.2192,0.23835,0.1765,0.5749955,1,0.7607386664135769,-0.10791003285317163
0.0538,0.0785,0.0826,0.114,0.1912,0.209,0.2272,0.2436,0.2034,0.46675277,1,0.73532947947406,-0.05527171388759874
0.0422,0.0612,0.0558,0.0984,0.1959,0.2288,0.2296,0.2628,0.1825,0.60896987,1,0.7276250545241477,-0.11429264741567581
0.0584,0.0852,0.0826,0.1192,0.1936,0.2166,0.2296,0.2301,0.1975,0.47085202,1,0.7080259525557782,-0.07515804261297117
0.0423,0.0619,0.0586,0.0895,0.1713,0.1903,0.2126,0.2187,0.175,0.5678466,1,0.6750720985461351,-0.09700722394220852
0.04695,0.06895,0.0721,0.11565,0.2012,0.2238,0.2342,0.22525,0.2047,0.52921975,1,0.6683298637494722,-0.06721348826611985
0.0467,0.0647,0.0622,0.0933,0.1746,0.1948,0.2054,0.2361,0.1859,0.53512704,1,0.6663536294329545,-0.04983388704318934
0.0417,0.0606,0.0634,0.0929,0.1609,0.184,0.195,0.2241,0.1897,0.5092879,1,0.6282285249394907,-0.0137769690668053
0.046,0.0672,0.0715,0.11165,0.15815,0.17535,0.1933,0.2172,0.24245,0.45996976,1,0.6178952615320638,0.11279403327596099
0.0578,0.0733,0.0789,0.1232,0.1763,0.1949,0.2068,0.2179,0.2704,0.44767237,1,0.6160329327062796,0.13327745180217931
0.04675,0.06245,0.0726,0.11395,0.17005,0.18735,0.1999,0.19905,0.2128,0.46715596,1,0.5196231338279552,0.0312575720862612
0.0548,0.0756,0.0794,0.1268,0.1899,0.2112,0.2204,0.236,0.211,0.47031355,1,0.4885123730938311,-0.02178952248493282
0.0548,0.0772,0.0831,0.1099,0.1676,0.1838,0.1996,0.2058,0.2146,0.41209763,1,0.4871962945522138,0.03621438918396913
0.0458,0.064,0.0771,0.0951,0.1378,0.1526,0.171,0.1799,0.2239,0.3784764,1,0.3504789508809036,0.13395796404152943
0.07535,0.1043,0.1131,0.1589,0.2032,0.22385,0.2429,0.2962,0.25595,0.36460674,1,0.3282829829187716,0.02616016838729078
0.0564,0.08,0.0804,0.1123,0.1803,0.1999,0.2356,0.2108,0.2073,0.49113923,1,0.2610878253733246,-0.06389704222172046
0.0478,0.0695,0.0677,0.1001,0.1872,0.2031,0.224,0.2281,0.1845,0.5358245,1,0.2211732365284888,-0.09669522643818852
0.065,0.0954,0.1124,0.1299,0.175,0.1948,0.2126,0.1917,0.2508,0.30830768,1,0.1799078939982152,0.08243418213206735
0.043,0.0578,0.0615,0.0941,0.141,0.157,0.169,0.1674,0.2294,0.46637744,1,0.1470100374305371,0.15160642570281121
0.0479,0.0658,0.06865,0.10505,0.1643,0.17535,0.1946,0.2236,0.21185,0.47844255,1,0.1217664975199908,0.0424406446057326
0.0531,0.077,0.0797,0.1141,0.1854,0.203,0.212,0.2255,0.2094,0.45354816,1,0.0988162074862455,-0.006169909824394853
0.0556,0.0794,0.0778,0.1151,0.1974,0.2139,0.2162,0.2318,0.2064,0.4707483,1,0.0710886540148978,-0.023189777567439666
0.0521,0.073,0.0744,0.1161,0.1776,0.1981,0.2006,0.2145,0.2012,0.4589091,1,0.0366309427147599,0.001493280238924812
0.0479,0.0774,0.072,0.1257,0.22345,0.2423,0.2533,0.2759,0.1908,0.55733174,1,0.0333370165876232,-0.14073406890340018
0.061,0.0812,0.0824,0.1158,0.2152,0.2369,0.2382,0.2455,0.2056,0.4859638,1,0.7124938902982055,-0.07345651194231634
0.0412,0.0622,0.0497,0.0905,0.1835,0.2056,0.2156,0.2312,0.1568,0.6253298,1,0.6916237462022703,-0.1578947368421053
0.0346,0.0559,0.04505,0.08625,0.1912,0.21445,0.2505,0.2449,0.16225,0.69514465,1,0.6744845913176956,-0.21380981223500908
0.03895,0.0557,0.05725,0.0898,0.19215,0.2154,0.23,0.24235,0.18275,0.6013925,1,0.6346499955716527,-0.1144760751059964
0.043,0.073,0.0681,0.1089,0.2005,0.2199,0.2416,0.2601,0.1848,0.5602196,1,0.5631111958864687,-0.1332082551594747
0.0433,0.0598,0.055,0.0904,0.1895,0.2084,0.2262,0.2114,0.1686,0.60881937,1,0.541740932498645,-0.14589665653495443
0.0384,0.0562,0.0546,0.09745,0.1877,0.2113,0.2123,0.2167,0.19035,0.590858,1,0.4472872995810286,-0.054513845771762076
0.046,0.0678,0.0723,0.108,0.1714,0.1892,0.194,0.2042,0.2017,0.45700338,1,0.4455930650856762,0.01945918625221123
0.0545,0.078,0.0959,0.1078,0.1501,0.1639,0.1702,0.1913,0.2261,0.27921835,1,0.4330376326893046,0.14105475649760285
0.0626,0.0884,0.0906,0.133,0.2231,0.2454,0.253,0.2756,0.2099,0.4726426,1,0.4091233597217644,-0.09310866277813783
0.03905,0.0583,0.0594,0.089,0.17785,0.2024,0.2089,0.2201,0.1694,0.5572121,1,0.3846476344551756,-0.10441448585778486
0.09275,0.1221,0.1325,0.17135,0.20225,0.21555,0.2315,0.2332,0.2897,0.27197805,1,0.3499171718326178,0.11166538756715273
0.0799,0.1123,0.1196,0.16785,0.2229,0.2463,0.2531,0.23865,0.2389,0.35819697,1,0.2904000697762542,-0.028861788617886158
0.0502,0.0711,0.0732,0.0996,0.1887,0.2082,0.211,0.2304,0.1837,0.48486978,1,0.2617809339630184,-0.06916645553584999
0.04395,0.0658,0.06375,0.1074,0.18315,0.20075,0.2193,0.22065,0.19955,0.5495496,1,0.212288193189547,-0.04715291870598064
0.0493,0.0709,0.07,0.1164,0.2069,0.2317,0.2332,0.2639,0.2122,0.53825855,1,0.211485694953185,-0.04714863044454421
0.03805,0.0595,0.0597,0.1222,0.1729,0.18875,0.1913,0.22295,0.2141,0.5243028,1,0.0847713739381419,0.05624074987666506
0.04105,0.06195,0.0608,0.09725,0.1902,0.2111,0.2178,0.25435,0.18775,0.56353194,1,0.0751035865608532,-0.07409690543706077
0.04225,0.06085,0.05865,0.0934,0.18635,0.20915,0.2199,0.2514,0.18475,0.5788907,1,0.0235068435002131,-0.08686519214135677
0.0592,0.0785,0.0894,0.1268,0.1803,0.1999,0.224,0.2094,0.2388,0.4294831,1,0.7879263656769537,0.03197925669835784
0.03555,0.0601,0.04875,0.09215,0.20505,0.22985,0.2434,0.27365,0.14925,0.66626734,1,0.7550826232889792,-0.2397809754234051
0.0656,0.0858,0.091,0.1255,0.1838,0.201,0.223,0.2185,0.21,0.42038217,1,0.7003235773102489,-0.030023094688221737
0.05985,0.0803,0.08805,0.12405,0.18605,0.19505,0.201,0.20795,0.21475,0.39076287,1,0.6213873593916578,0.03307276007215871
0.0448,0.0656,0.0642,0.0967,0.1924,0.216,0.2386,0.251,0.1947,0.5759577,1,0.4459835740372123,-0.10131548580660049
0.0411,0.0626,0.0569,0.0938,0.1912,0.2106,0.2198,0.231,0.155,0.58872426,1,0.4318800011502742,-0.17289220917822837
