B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDBI,MNDWI,BSI,entropy,lc,random_split
0.021481818,0.021908334,0.036666665,0.0336,0.073,0.2202,0.27986667,0.265,0.3041,0.3117,0.15115,0.0805,0.7749498,-0.33596924,-0.60954833,-0.2165939,3.460339091737341,0,0.9936400896567922
0.0223,0.0314,0.0554,0.058,0.0886,0.1945,0.2414,0.2944,0.2653,0.2576,0.1221,0.0652,0.67082864,-0.36964378,-0.37577465,-0.2880016,3.4646712616158406,0,0.9934781001604062
0.028471429,0.03423333,0.054166667,0.0579,0.07685,0.183,0.2279,0.233,0.24635,0.262,0.123833336,0.0774,0.6019251,-0.33096212,-0.39138576,-0.19043729,3.5773076784568323,0,0.9933597860423156
0.0256375,0.017288236,0.033077776,0.029075,0.076025,0.19695714,0.23682857,0.24547,0.257245,0.23755,0.13705833,0.07664444,0.788195,-0.30480763,-0.611161,-0.22528982,3.5773076784568323,0,0.9933336821071546
0.0119,0.0237,0.0435,0.0364,0.08365,0.22195,0.2751,0.3217,0.2992,0.27745,0.1127,0.05495,0.7967048,-0.4527798,-0.44302177,-0.39696664,3.4646712616158406,0,0.9932315374782354
0.0212,0.0252,0.0432,0.0411,0.0843,0.2193,0.2702,0.2614,0.2955,0.281,0.1593,0.092,0.72826445,-0.2994723,-0.5733333,-0.17700209,3.4646712616158406,0,0.9925975706233272
0.04284643,0.05777,0.07219091,0.0841125,0.10469697,0.17509,0.20664616,0.22876666,0.22103333,0.22243333,0.16636364,0.11954167,0.46233237,-0.1411206,-0.39476392,-0.067150205,3.4646712616158406,0,0.9925153669723068
0.0148,0.0215,0.0342,0.0241,0.0565,0.1542,0.186,0.1964,0.21,0.2135,0.0795,0.0426,0.7814059,-0.4507772,-0.39841685,-0.35552102,3.5773076784568323,0,0.9922887191746168
0.01777,0.0161,0.0275,0.0209,0.052675,0.16975,0.2188,0.1974,0.2396,0.27605,0.09195,0.0369,0.8085204,-0.44533253,-0.5395563,-0.30841124,3.4646712616158406,0,0.9920435596730002
0.0248,0.01475,0.02925,0.02815,0.06765,0.1355,0.1587,0.1544,0.1703,0.2137,0.11825,0.0609,0.6915914,-0.18038471,-0.6033898,-0.07209637,3.4646712616158406,0,0.991851525105538
0.1171,0.078,0.1114,0.1236,0.1842,0.2376,0.259,0.2934,0.2678,0.2886,0.2372,0.2002,0.40719423,-0.060594052,-0.36087206,-0.014476899,3.4148513080130942,0,0.9917658072774264
0.08215,0.0712,0.09865,0.08265,0.118,0.2801,0.32185,0.3121,0.34695,0.31305,0.18715,0.1134,0.58125395,-0.2991949,-0.3096571,-0.17378655,3.4646712616158406,0,0.9913303882326192
0.1016,0.09938333,0.1263,0.1417,0.1751,0.225125,0.2472,0.26433334,0.26485,0.2783,0.23276667,0.17348333,0.30202776,-0.064473964,-0.29650944,0.014562782,3.4646712616158406,0,0.990983575949006
0.02945,0.03405,0.0532,0.0535,0.09415,0.18775,0.22545,0.2398,0.24305,0.24545,0.1743,0.10325,0.63518584,-0.16472983,-0.5323077,-0.091797076,3.4646712616158406,0,0.9906773093614945
0.058310527,0.08052857,0.10117028,0.11681667,0.128675,0.17016,0.19016667,0.1985,0.20595,0.2139875,0.2201,0.19261667,0.25905174,0.033212047,-0.37018588,0.093982525,3.4646712616158406,0,0.9905356578117808
0.044436365,0.029666666,0.0446625,0.04516923,0.0799,0.17615834,0.2090875,0.22055,0.23164,0.24505714,0.14325714,0.088057145,0.66002285,-0.23575228,-0.5246638,-0.14086692,3.4430104122233423,0,0.9901251012750776
0.09616667,0.1191,0.1374,0.15376666,0.1758,0.1883,0.19719,0.19345,0.2048,0.24313334,0.23783334,0.241975,0.11428986,0.074629135,-0.26765567,0.11226301,3.464671261615841,0,0.9900033318015634
0.0343625,0.04216,0.0605,0.07858333,0.1202,0.18725,0.211575,0.2081,0.23198333,0.22388,0.16135,0.112775,0.4517761,-0.17957628,-0.45458642,-0.021066545,3.46467126161584,0,0.9899624494693514
0.1236,0.1282,0.1575,0.1764,0.21665,0.26235,0.2796,0.2851,0.29965,0.31425,0.3022,0.23925,0.2355363,0.0042368965,-0.3147705,0.07321447,3.4646712616158406,0,0.989807771239253
0.13046,0.10318571,0.13183333,0.15093334,0.176875,0.2189,0.23653333,0.24876,0.257,0.29995716,0.2474,0.19443333,0.24475428,-0.019032512,-0.30473763,0.061827168,3.4473425821018417,0,0.989770266354326
0.0729,0.04855,0.0833,0.09165,0.1746,0.2384,0.26225,0.27565,0.2768,0.2652,0.25755,0.227,0.5009529,-0.03602509,-0.51122195,0.03712505,3.4646712616158406,0,0.9897350214605212
0.0199,0.0207,0.0376,0.0299,0.0622,0.1824,0.2328,0.2309,0.2499,0.23,0.1121,0.0566,0.7707055,-0.38066298,-0.49766198,-0.27845532,3.4646712616158406,0,0.9897099189348908
0.074766666,0.084,0.1112,0.147,0.16608,0.181825,0.19733334,0.19253333,0.21255,0.2064,0.278425,0.2686,0.13410562,0.13417181,-0.42919475,0.212109,3.555646829064334,0,0.9896029546785003
0.052366666,0.0758875,0.09581,0.1144,0.13353333,0.1862,0.20755,0.22775,0.227,0.227465,0.22595,0.17695,0.33128744,-0.0023181266,-0.40446293,0.05700809,3.46467126161584,0,0.989517165332166
0.0308,0.03905,0.06555,0.057,0.1015,0.2099,0.2506,0.256,0.27685,0.2822,0.15265,0.0863,0.6357828,-0.28917342,-0.39917508,-0.16920945,3.4646712616158406,0,0.9895082660168874
