B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,entropy,lc,random_split
0.0399,0.0434,0.0546,0.0547,0.0778,0.1274,0.1397,0.1554,0.1573,0.1691,0.1925,0.1322,0.47929558,3.5686433386998333,0,0.7981710505752201
0.042,0.0314,0.05075,0.0324,0.10595,0.11575,0.1182,0.0963,0.0927,0.15465,0.07535,0.05885,0.49650347,3.566477253760583,0,0.7772128777564902
0.03485,0.03085,0.0426,0.0403,0.0749,0.16455,0.18105,0.1613,0.1907,0.2027,0.13115,0.08295,0.6001984,3.4473425821018417,0,0.5933739297233004
0.03485,0.03615,0.05025,0.0445,0.07285,0.1549,0.175,0.1814,0.19605,0.2027,0.1333,0.08675,0.60602033,3.5686433386998333,0,0.616238612834466
0.06815,0.0555,0.0735,0.0805,0.14245,0.1882,0.2067,0.2282,0.22095,0.21485,0.2069,0.16825,0.47845805,3.4646712616158406,0,0.088611453781464
0.03485,0.03085,0.0426,0.0403,0.0749,0.16455,0.18105,0.1613,0.1907,0.2027,0.13115,0.08295,0.6001984,3.4473425821018417,0,0.7587219782483033
0.04415,0.043,0.05925,0.06065,0.08865,0.16195,0.18195,0.2006,0.1986,0.2009,0.1465,0.10585,0.53569376,3.529653809793336,0,0.4474532936500892
0.03485,0.0338,0.04645,0.04085,0.07285,0.1549,0.175,0.1681,0.19605,0.2027,0.1333,0.08675,0.6089974,3.4646712616158406,0,0.485416032768755
0.06815,0.03035,0.04475,0.04405,0.09,0.1536,0.17975,0.2211,0.20105,0.21485,0.17925,0.1212,0.6677352,3.4646712616158406,0,0.6056466081390012
0.03035,0.0349,0.0551,0.0462,0.08655,0.21275,0.2379,0.2464,0.2597,0.25915,0.15855,0.1023,0.68421054,3.460339091737341,0,0.239845545066854
0.06815,0.0249,0.03505,0.03355,0.09,0.1536,0.17975,0.148,0.20105,0.21485,0.17925,0.1212,0.63040483,3.4603390917373416,0,0.6658500258935167
0.0557,0.034,0.0535,0.0458,0.07175,0.15755,0.1713,0.2233,0.19075,0.22975,0.12885,0.0853,0.6596061,3.432179987527093,0,0.4432942052363685
0.04625,0.036,0.0537,0.0527,0.12305,0.1923,0.20615,0.2125,0.21835,0.18105,0.1688,0.1293,0.6025641,3.4819999411298395,0,0.4222560232977367
0.0331,0.03725,0.0555,0.05935,0.08865,0.18955,0.209,0.2389,0.2374,0.23955,0.18485,0.12085,0.60201174,3.5686433386998333,0,0.2250399831571593
0.0409,0.0492,0.0778,0.0708,0.1125,0.2104,0.2302,0.2492,0.2506,0.2528,0.1753,0.1263,0.5575,3.46467126161584,1,0.748427486492423
0.038,0.0514,0.0736,0.0722,0.1054,0.182,0.1963,0.2198,0.2221,0.2128,0.1957,0.15,0.50547945,3.5361097176317786,1,0.610270018266796
0.0683,0.0508,0.073,0.0734,0.1266,0.1942,0.2161,0.2226,0.2428,0.2756,0.2401,0.1681,0.50405407,3.5773076784568323,1,0.5206182287789395
0.0388,0.0359,0.0544,0.0487,0.0901,0.1839,0.2059,0.2152,0.22355,0.22745,0.1775,0.1221,0.6309208,3.4646712616158406,1,0.4377423715177417
0.04775,0.0781,0.1028,0.1307,0.13815,0.1872,0.2058,0.2462,0.2257,0.2091,0.23405,0.17315,0.3064473,3.4646712616158406,1,0.3042145362835248
0.0467,0.0493,0.072,0.07,0.1102,0.1948,0.208,0.2086,0.235,0.2271,0.1935,0.145,0.49748743,3.3217096556253525,1,0.2700462732009162
0.03815,0.03955,0.0586,0.05175,0.09385,0.20485,0.23625,0.2542,0.25625,0.26415,0.18815,0.1216,0.6617094,3.5686433386998333,1,0.190479298536815
0.03395,0.0393,0.0594,0.053,0.0935,0.20155,0.2297,0.2336,0.24305,0.24155,0.16965,0.1087,0.63014656,3.5773076784568323,1,0.1901074896002794
0.03685,0.03895,0.0565,0.0536,0.0877,0.1723,0.19465,0.21,0.21185,0.21875,0.1713,0.1178,0.59332323,3.5773076784568323,1,0.1823271916724506
0.0566,0.03945,0.0583,0.0551,0.08885,0.1923,0.2107,0.2246,0.233,0.23795,0.18835,0.1259,0.60600644,3.460339091737341,1,0.1280756374795781
0.03895,0.05105,0.0686,0.0662,0.1047,0.18655,0.2052,0.2154,0.22565,0.2201,0.2016,0.1374,0.5298295,3.5773076784568323,1,0.0797717165480094
0.067,0.0494,0.0678,0.0708,0.0968,0.1686,0.1903,0.2008,0.2028,0.2415,0.1873,0.1405,0.4786451,3.5773076784568323,1,0.7631189894268038
0.0523,0.0637,0.0834,0.0911,0.1113,0.197,0.2136,0.2314,0.2341,0.2339,0.2098,0.1553,0.43503875,3.449508667041092,1,0.7565858806765774
0.0419,0.0538,0.0744,0.0774,0.1125,0.1813,0.204,0.2028,0.2168,0.2152,0.2041,0.1527,0.44753748,3.460339091737341,1,0.66187709974348
0.066,0.0642,0.0946,0.0894,0.1473,0.2415,0.2675,0.28,0.2944,0.2852,0.2129,0.1573,0.51597184,3.395356543559846,1,0.6450253529903269
0.0463,0.0428,0.0652,0.061,0.10725,0.1831,0.20355,0.2117,0.2309,0.2271,0.1928,0.12595,0.55262196,3.404020883316845,1,0.5554650022834053
0.0407,0.0443,0.0718,0.0647,0.1058,0.1811,0.2012,0.2156,0.2245,0.2281,0.1751,0.1241,0.5383518,3.408353053195345,1,0.552930810390813
0.0466,0.0552,0.0717,0.0794,0.1016,0.169,0.1879,0.2064,0.2114,0.212,0.2211,0.1724,0.4443667,3.5773076784568323,1,0.5501223688100706
0.0424,0.0451,0.0655,0.0766,0.1083,0.1662,0.1821,0.1942,0.1969,0.1945,0.2318,0.1716,0.43426883,3.5686433386998333,1,0.4614718557431732
0.0329,0.03665,0.058,0.05215,0.0892,0.1926,0.2171,0.2249,0.2373,0.2414,0.16525,0.10965,0.62353367,3.4646712616158406,1,0.4512041043348325
0.0554,0.0566,0.0749,0.0767,0.1099,0.1874,0.2077,0.2178,0.2355,0.244,0.1998,0.1453,0.47911716,3.5773076784568323,1,0.3834117060579877
0.0715,0.1136,0.1594,0.1618,0.2018,0.2755,0.2941,0.3152,0.3205,0.2875,0.2876,0.2238,0.3215933,3.4646712616158406,1,0.3090672307234122
